budget,trial,model,k,accuracy,DP_gap,EO_gap,EqOdds_gap
6000,0,LR,2,0.9095,0.001101042384872965,0.00019658724541951784,0.0009266052404490813
6000,1,LR,2,0.9056,0.0020456509567164903,0.007716480446927373,0.007716480446927373
6000,2,LR,2,0.9171,8.290688106385447e-06,0.004176660325862212,0.004176660325862212
6000,3,LR,2,0.9093,0.0019444206301470549,0.005642863707379837,0.005642863707379837
6000,4,LR,2,0.9116,0.004703691980660892,0.002678953384808511,0.004665215099042103
6000,5,LR,2,0.9062,0.0014550119864730603,0.004524010301524717,0.004524010301524717
6000,6,LR,2,0.9052,0.00046762406998513556,0.0019172639201905511,0.0019172639201905511
6000,7,LR,2,0.9153,0.0002632591018972971,0.0007548152004164498,0.0007548152004164498
6000,8,LR,2,0.9083,0.0030411072866153594,0.0064288600712685065,0.0064288600712685065
6000,9,LR,2,0.9093,0.0012756998387813048,0.0036032383368864353,0.0036032383368864353
8000,0,LR,2,0.9164,0.0026200141689196655,0.009437551391087711,0.009437551391087711
8000,1,LR,2,0.9114,0.0006514241301125998,0.004360724675249862,0.004360724675249862
8000,2,LR,2,0.9176,0.0009861639820051243,0.003241315630273506,0.003241315630273506
8000,3,LR,2,0.9148,0.0014527763489847407,0.005681818181818182,0.005681818181818182
8000,4,LR,2,0.9175,1.2971924972874846e-05,0.005449591280653951,0.005449591280653951
8000,5,LR,2,0.9114,1.0391148197454094e-05,0.00784313725490196,0.00784313725490196
8000,6,LR,2,0.9129,0.0009191148544152455,0.0033803405896429156,0.0033803405896429156
8000,7,LR,2,0.9158,0.00045163324798951424,0.0034108468699355523,0.0034108468699355523
8000,8,LR,2,0.912,0.0006207127055116103,0.002717391304347826,0.002717391304347826
8000,9,LR,2,0.9172,0.00043926451381518655,0.0030496752542459394,0.0030496752542459394
10000,0,LR,2,0.9134,0.0001635623830330531,0.002105263157894737,0.002105263157894737
10000,1,LR,2,0.9175,0.00029930483004127564,0.0,0.0003793268988467022
10000,2,LR,2,0.9153,0.0008527572484366117,0.0,0.0009136592051164915
10000,3,LR,2,0.9173,0.0002434393105798724,0.0,0.00019442087827738056
10000,4,LR,2,0.9174,0.0002312710939797783,0.0007579772483577159,0.0007579772483577159
10000,5,LR,2,0.9174,0.0002089652393920398,0.006494995506801773,0.006494995506801773
10000,6,LR,2,0.9167,0.0009237716481824178,0.008174386920980926,0.008174386920980926
10000,7,LR,2,0.9181,0.00041603844619968926,0.004282655246252677,0.004282655246252677
10000,8,LR,2,0.9193,0.0004418549847443751,0.0,0.00043078522175890653
10000,9,LR,2,0.9175,0.00042259331904256057,0.0039641231722668735,0.0039641231722668735
500,0,MLP,2,0.8909,0.006123347272799458,0.03219954648526077,0.03219954648526077
500,1,MLP,2,0.7714,0.004394883639860403,0.006817368677833779,0.006817368677833779
500,2,MLP,2,0.8456,0.0037051552643911217,0.024984927474554025,0.024984927474554025
500,3,MLP,2,0.8585,0.007043121234917724,0.022256937445407514,0.022256937445407514
500,4,MLP,2,0.8367,0.008417168292893504,0.009154283617684833,0.009154283617684833
500,5,MLP,2,0.8717,0.0016365322041664715,0.026811841591884517,0.026811841591884517
500,6,MLP,2,0.8198,0.0036412387463680695,0.023261803089196204,0.023261803089196204
500,7,MLP,2,0.7683,0.006433622866777372,0.02093881296783015,0.02093881296783015
500,8,MLP,2,0.9011,0.002773130294908995,0.0028939301042305333,0.003201975402263097
500,9,MLP,2,0.866,0.004128457882681652,0.024072942969227178,0.024072942969227178
1000,0,MLP,2,0.9034,0.0008834393591883802,0.009351358924068366,0.009351358924068366
1000,1,MLP,2,0.8422,0.010941294612628896,0.0345413487678681,0.0345413487678681
1000,2,MLP,2,0.8981,0.001061369642763963,1.754570656560539e-05,0.0007173060641738234
1000,3,MLP,2,0.8903,0.00015683300862809335,0.007101570991008794,0.007101570991008794
1000,4,MLP,2,0.8744,0.002776704242226001,0.008033769063180825,0.008033769063180825
1000,5,MLP,2,0.8875,0.0015874600164449484,0.010400141018861272,0.010400141018861272
1000,6,MLP,2,0.8613,0.0040452734188897305,0.01360842844600528,0.01360842844600528
1000,7,MLP,2,0.8968,0.0011837849671722557,0.003771814483520687,0.003771814483520687
1000,8,MLP,2,0.9071,0.0029668293496090507,0.004260013577732519,0.004260013577732519
1000,9,MLP,2,0.8871,0.0029589429887346558,0.004243145687735199,0.004243145687735199
2000,0,MLP,2,0.9103,0.0006454422954028779,0.0026813184294807533,0.0026813184294807533
2000,1,MLP,2,0.9052,0.0009915730809166405,0.01530891197375615,0.01530891197375615
2000,2,MLP,2,0.9149,0.0008185000706617054,0.004338394793926247,0.004338394793926247
2000,3,MLP,2,0.9078,0.0011597354353538097,0.001379279157056935,0.001379279157056935
2000,4,MLP,2,0.9123,0.0010469934395713936,0.0,0.000884069364507664
2000,5,MLP,2,0.9147,0.0005395699573092329,0.001207361089929337,0.001207361089929337
2000,6,MLP,2,0.9016,0.0003931583307247317,0.00619546247818499,0.00619546247818499
2000,7,MLP,2,0.9063,0.0002594807543882076,0.001476855333573118,0.001476855333573118
2000,8,MLP,2,0.9148,0.0006787206359359374,0.0,0.0006593586765147228
2000,9,MLP,2,0.9095,0.0005308042155925327,0.0071264164305949,0.0071264164305949
4000,0,MLP,2,0.9185,0.0006228795785380197,0.0008399358138601945,0.0008399358138601945
4000,1,MLP,2,0.9125,7.73221162944566e-05,0.002849002849002849,0.002849002849002849
4000,2,MLP,2,0.9152,0.00023267820852716802,0.002150537634408602,0.002150537634408602
4000,3,MLP,2,0.9172,0.0007008077332584701,0.006329113924050633,0.006329113924050633
4000,4,MLP,2,0.9169,8.548324898428948e-05,0.002173913043478261,0.002173913043478261
4000,5,MLP,2,0.917,0.00038448068184143746,0.0021691973969631237,0.0021691973969631237
4000,6,MLP,2,0.9157,0.00038989482672552333,0.0,0.0003182537687304878
4000,7,MLP,2,0.9206,0.000950375809292288,0.0,0.001109543269019212
4000,8,MLP,2,0.9173,0.0006648936170212766,0.0,0.0007561436672967864
4000,9,MLP,2,0.9179,0.0002793424808722447,0.0033488084184463015,0.0033488084184463015
6000,0,MLP,2,0.9193,0.0007733827835914932,0.0,0.000798069702335819
6000,1,MLP,2,0.9149,0.001004947903987536,0.004166666666666667,0.004166666666666667
6000,2,MLP,2,0.9224,0.0006424341158800781,0.002336448598130841,0.002336448598130841
6000,3,MLP,2,0.9183,0.0005403929106586893,0.002150537634408602,0.002150537634408602
6000,4,MLP,2,0.9226,0.00018667792460531007,0.0,0.00016501311203774073
6000,5,MLP,2,0.9149,0.0001883805652024635,0.0,0.00022188038266981582
6000,6,MLP,2,0.9107,0.0007270998437705119,0.0,0.0009276058260551045
6000,7,MLP,2,0.9179,0.0018473921324445091,0.004424778761061947,0.004424778761061947
6000,8,MLP,2,0.9177,0.0,0.0,0.0
6000,9,MLP,2,0.9185,0.0008081496551502921,0.0031847133757961785,0.0031847133757961785
8000,0,MLP,2,0.9183,0.0001972741445494313,0.0021231422505307855,0.0021231422505307855
8000,1,MLP,2,0.9148,0.0006546918227098003,0.0,0.0006824871267714556
8000,2,MLP,2,0.9203,0.0001419849495953429,0.0,0.0001513317191283293
8000,3,MLP,2,0.9197,0.00038730496975041033,0.0,0.00045810511130806915
8000,4,MLP,2,0.9187,0.0002587204962302197,0.00042594506561433173,0.00042594506561433173
8000,5,MLP,2,0.9133,0.0,0.0,0.0
8000,6,MLP,2,0.9156,0.0012734678127497181,0.0006330878423901681,0.0012710245777362962
8000,7,MLP,2,0.919,5.653843390271803e-05,0.0029585798816568047,0.0029585798816568047
8000,8,MLP,2,0.915,0.0,0.0,0.0
8000,9,MLP,2,0.92,5.560553854252684e-05,0.002890173410404624,0.002890173410404624
10000,0,MLP,2,0.9139,0.0005748778384593274,0.0,0.0006169983032546661
10000,1,MLP,2,0.9182,0.00014222727919214906,0.0,0.0001525320317266626
10000,2,MLP,2,0.9158,0.0001421262080727686,0.0,0.00015227653418608191
10000,3,MLP,2,0.9185,0.00023583183212425143,0.0030120481927710845,0.0030120481927710845
10000,4,MLP,2,0.918,0.0008119920978969352,0.0042643923240938165,0.0042643923240938165
10000,5,MLP,2,0.9189,0.00033523298692591353,0.002881844380403458,0.002881844380403458
10000,6,MLP,2,0.9169,0.00018475432963648358,0.0,0.00021956418723458304
10000,7,MLP,2,0.9173,0.000266225994111077,0.01284796573875803,0.01284796573875803
10000,8,MLP,2,0.9203,0.0,0.0,0.0
10000,9,MLP,2,0.9182,0.00014411298457991066,0.0,0.00015408320493066256
500,0,LR,4,0.9143,0.0024144184389242535,0.01639344262295082,0.01639344262295082
500,1,LR,4,0.9063,0.006094929031648261,0.018747159521284654,0.018747159521284654
500,2,LR,4,0.9045,0.003096129837702872,0.020942408376963352,0.020942408376963352
500,3,LR,4,0.909,0.0022344154735226976,0.013486312399355879,0.013486312399355879
500,4,LR,4,0.8931,0.006663299159370403,0.02490928986926222,0.02490928986926222
500,5,LR,4,0.9079,0.00669134122937205,0.006570642498786212,0.008173535249347524
500,6,LR,4,0.891,0.0077403576579055736,0.046371552975326566,0.046371552975326566
500,7,LR,4,0.8873,0.017063219320233955,0.0292812777284827,0.0292812777284827
500,8,LR,4,0.9084,0.007136831046448696,0.015384615384615385,0.015384615384615385
500,9,LR,4,0.9157,0.0015157881125729333,0.012269938650306749,0.012269938650306749
1000,0,LR,4,0.8659,0.008128695961986052,0.059905341446923596,0.059905341446923596
1000,1,LR,4,0.8819,0.009206952302086013,0.06574583856531119,0.06574583856531119
1000,2,LR,4,0.8576,0.007234721769553559,0.027272727272727282,0.027272727272727282
1000,3,LR,4,0.8644,0.014313953220062611,0.017913832199546495,0.01842303600532203
1000,4,LR,4,0.8624,0.010668243554563986,0.030101394169835233,0.030101394169835233
1000,5,LR,4,0.8685,0.007831378537180855,0.049977462249267524,0.049977462249267524
1000,6,LR,4,0.836,0.026729346632452175,0.042163403696817245,0.042163403696817245
1000,7,LR,4,0.8526,0.023616607751223137,0.05000685651597569,0.05000685651597569
1000,8,LR,4,0.8765,0.01705020809292991,0.040481885020816726,0.040481885020816726
1000,9,LR,4,0.8699,0.009296186477440481,0.03103187284500883,0.03103187284500883
2000,0,LR,4,0.834,0.014387876690119969,0.02392134245145698,0.02392134245145698
2000,1,LR,4,0.8301,0.01014521561663384,0.06018087147163606,0.06018087147163606
2000,2,LR,4,0.8353,0.01586700643863831,0.01891107613614007,0.01891107613614007
2000,3,LR,4,0.8359,0.012160960210237368,0.04111897539602291,0.04111897539602291
2000,4,LR,4,0.83,0.02515819555011227,0.04511329511329511,0.04511329511329511
2000,5,LR,4,0.827,0.02604716519137018,0.022406992857904276,0.03102410343602173
2000,6,LR,4,0.8241,0.02077414772727272,0.07248557194297836,0.07248557194297836
2000,7,LR,4,0.8331,0.01824082723963534,0.04208754208754209,0.04208754208754209
2000,8,LR,4,0.8383,0.010348636159838262,0.039302726259247994,0.039302726259247994
2000,9,LR,4,0.8263,0.012538956881544619,0.04183237947424581,0.04183237947424581
4000,0,LR,4,0.8994,0.0083617366763679,0.0619047619047619,0.0619047619047619
4000,1,LR,4,0.89,0.0066303504844935565,0.01968581662295174,0.01968581662295174
4000,2,LR,4,0.8939,0.007672628986130168,0.017680157664733936,0.017680157664733936
4000,3,LR,4,0.8922,0.004375798625693629,0.018617716226809515,0.018617716226809515
4000,4,LR,4,0.8899,0.009999115919345644,0.029222972972972973,0.029222972972972973
4000,5,LR,4,0.8917,0.004255869934374053,0.02552467385138968,0.02552467385138968
4000,6,LR,4,0.8924,0.008926462507234108,0.016342747137971285,0.016342747137971285
4000,7,LR,4,0.8931,0.00521390418060912,0.02252940631656942,0.02252940631656942
4000,8,LR,4,0.8885,0.004793724069164684,0.01860429603990634,0.01860429603990634
